system,family,n,paths_total,path_index,method,iterations
katsura3,katsura,3,10003,4,2,nontruncated_hermite,success,1.0,0.945263417,26
katsura3,katsura,3,10003,4,2,order3_apriori,success,1.0,0.016093458,12
katsura3,katsura,3,10003,4,3,adaptive_constant,success,1.0,0.488044875,791
katsura3,katsura,3,10003,4,3,apriori_constant,success,1.0,0.898833166,561
katsura3,katsura,3,10003,4,3,truncated_hermite,success,1.0,0.02352575,26
katsura3,katsura,3,10003,4,3,nontruncated_hermite,success,1.0,0.029914667,31
katsura3,katsura,3,10003,4,3,order3_apriori,success,1.0,0.016402417,15
katsura3,katsura,3,10003,4,4,adaptive_constant,success,1.0,2.305258208,1084
katsura3,katsura,3,10003,4,4,apriori_constant,success,1.0,0.321116917,769
katsura3,katsura,3,10003,4,4,truncated_hermite,success,1.0,0.037101709,31
katsura3,katsura,3,10003,4,4,nontruncated_hermite,success,1.0,0.03985825,38
katsura3,katsura,3,10003,4,4,order3_apriori,success,1.0,0.029139,19
random(2^3),random_dense,3,20003,8,1,adaptive_constant,success,1.0,4.857033833,2337
random(2^3),random_dense,3,20003,8,1,apriori_constant,success,1.0,1.615012125,1745
random(2^3),random_dense,3,20003,8,1,truncated_hermite,success,1.0,0.149855292,30
random(2^3),random_dense,3,20003,8,1,nontruncated_hermite,success,1.0,0.057286209,37
random(2^3),random_dense,3,20003,8,1,order3_apriori,success,1.0,0.042026875,19
random(2^3),random_dense,3,20003,8,2,adaptive_constant,success,1.0,1.9858155,1562
random(2^3),random_dense,3,20003,8,2,apriori_constant,success,1.0,1.232304958,1114
random(2^3),random_dense,3,20003,8,2,truncated_hermite,success,1.0,0.05090025,30
random(2^3),random_dense,3,20003,8,2,nontruncated_hermite,success,1.0,0.550953333,40
random(2^3),random_dense,3,20003,8,2,order3_apriori,success,1.0,0.039419459,20
random(2^3),random_dense,3,20003,8,3,adaptive_constant,success,1.0,3.330632417,1794
random(2^3),random_dense,3,20003,8,3,apriori_constant,success,1.0,1.144514,1292
random(2^3),random_dense,3,20003,8,3,truncated_hermite,success,1.0,0.038907667,25
random(2^3),random_dense,3,20003,8,3,nontruncated_hermite,success,1.0,0.046149083,31
random(2^3),random_dense,3,20003,8,3,order3_apriori,success,1.0,0.142283833,16
random(2^3),random_dense,3,20003,8,4,adaptive_constant,success,1.0,3.2625035,1533
random(2^3),random_dense,3,20003,8,4,apriori_constant,success,1.0,1.490407667,1262
random(2^3),random_dense,3,20003,8,4,truncated_hermite,success,1.0,0.056065292,34
random(2^3),random_dense,3,20003,8,4,nontruncated_hermite,success,1.0,0.071750375,42
random(2^3),random_dense,3,20003,8,4,order3_apriori,success,1.0,0.055146875,21
random(2^3),random_dense,3,20003,8,5,adaptive_constant,success,1.0,1.370456958,948
random(2^3),random_dense,3,20003,8,5,apriori_constant,success,1.0,0.838031166,748
random(2^3),random_dense,3,20003,8,5,truncated_hermite,success,1.0,0.037293,21
random(2^3),random_dense,3,20003,8,5,nontruncated_hermite,success,1.0,0.04862675,27
random(2^3),random_dense,3,20003,8,5,order3_apriori,success,1.0,0.035843,15
random(2^3),random_dense,3,20003,8,6,adaptive_constant,success,1.0,2.943331083,2389
random(2^3),random_dense,3,20003,8,6,apriori_constant,success,1.0,2.049577667,1802
random(2^3),random_dense,3,20003,8,6,truncated_hermite,success,1.0,0.058265416,27
random(2^3),random_dense,3,20003,8,6,nontruncated_hermite,success,1.0,0.060736542,35
random(2^3),random_dense,3,20003,8,6,order3_apriori,success,1.0,0.038784542,18
random(2^3),random_dense,3,20003,8,7,adaptive_constant,success,1.0,0.978002917,628
random(2^3),random_dense,3,20003,8,7,apriori_constant,success,1.0,0.458993792,436
random(2^3),random_dense,3,20003,8,7,truncated_hermite,success,1.0,0.03554875,19
random(2^3),random_dense,3,20003,8,7,nontruncated_hermite,success,1.0,0.049756916,24
random(2^3),random_dense,3,20003,8,7,order3_apriori,success,1.0,0.07035475,13
random(2^3),random_dense,3,20003,8,8,adaptive_constant,success,1.0,4.220054959,3245
random(2^3),random_dense,3,20003,8,8,apriori_constant,success,1.0,2.007698334,2250
random(2^3),random_dense,3,20003,8,8,truncated_hermite,success,1.0,0.061610791,39
random(2^3),random_dense,3,20003,8,8,nontruncated_hermite,success,1.0,0.218081792,47
random(2^3),random_dense,3,20003,8,8,order3_apriori,success,1.0,0.040430917,23
katsura3,katsura,3,217337003,4,1,order3_apriori,success,1.0,1.301643417,32
katsura3,katsura,3,217337003,4,2,order3_apriori,success,1.0,0.027881333,14
katsura3,katsura,3,217337003,4,3,order3_apriori,success,1.0,0.035170375,17
katsura3,katsura,3,217337003,4,4,order3_apriori,success,1.0,0.068526584,25
katsura4,katsura,4,217337004,8,1,order3_apriori,success,1.0,0.399555792,99
katsura4,katsura,4,217337004,8,2,order3_apriori,success,1.0,0.733656083,31
katsura4,katsura,4,217337004,8,3,order3_apriori,success,1.0,0.031261959,17
katsura4,katsura,4,217337004,8,4,order3_apriori,success,1.0,0.060621667,31
katsura4,katsura,4,217337004,8,5,order3_apriori,success,1.0,0.068886875,30
katsura4,katsura,4,217337004,8,6,order3_apriori,success,1.0,0.046527,17
katsura4,katsura,4,217337004,8,7,order3_apriori,success,1.0,0.062511833,29
katsura4,katsura,4,217337004,8,8,order3_apriori,success,1.0,0.071935,34
katsura5,katsura,5,217337005,16,1,order3_apriori,success,1.0,0.723621,80
katsura5,katsura,5,217337005,16,2,order3_apriori,success,1.0,0.147379292,48
katsura5,katsura,5,217337005,16,3,order3_apriori,success,1.0,0.507191959,61
katsura5,katsura,5,217337005,16,4,order3_apriori,success,1.0,0.074292,26
katsura5,katsura,5,217337005,16,5,order3_apriori,success,1.0,0.154797625,53
katsura5,katsura,5,217337005,16,6,order3_apriori,success,1.0,0.484782167,61
katsura5,katsura,5,217337005,16,7,order3_apriori,success,1.0,0.37383025,77
katsura5,katsura,5,217337005,16,8,order3_apriori,success,1.0,0.642916583,23
katsura5,katsura,5,217337005,16,9,order3_apriori,success,1.0,0.097409375,30
katsura5,katsura,5,217337005,16,10,order3_apriori,success,1.0,0.173289625,54
katsura5,katsura,5,217337005,16,11,order3_apriori,success,1.0,0.621361833,76
katsura5,katsura,5,217337005,16,12,order3_apriori,success,1.0,0.21708375,58
katsura5,katsura,5,217337005,16,13,order3_apriori,success,1.0,0.10621875,23
katsura5,katsura,5,217337005,16,14,order3_apriori,success,1.0,0.633526916,35
katsura5,katsura,5,217337005,16,15,order3_apriori,success,1.0,0.179797,56
katsura5,katsura,5,217337005,16,16,order3_apriori,success,1.0,0.159481167,36
katsura6,katsura,6,217337006,32,1,order3_apriori,success,1.0,2.054847666,77
katsura6,katsura,6,217337006,32,2,order3_apriori,success,1.0,1.282841291,71
katsura6,katsura,6,217337006,32,3,order3_apriori,success,1.0,0.305909292,59
katsura6,katsura,6,217337006,32,4,order3_apriori,success,1.0,1.224337042,78
katsura6,katsura,6,217337006,32,5,order3_apriori,success,1.0,0.94825775,48
katsura6,katsura,6,217337006,32,6,order3_apriori,success,1.0,0.282817708,50
katsura6,katsura,6,217337006,32,7,order3_apriori,success,1.0,0.713308417,64
katsura6,katsura,6,217337006,32,8,order3_apriori,success,1.0,0.722761208,71
katsura6,katsura,6,217337006,32,9,order3_apriori,success,1.0,0.61266125,76
katsura6,katsura,6,217337006,32,10,order3_apriori,success,1.0,0.6272905,76
katsura6,katsura,6,217337006,32,11,order3_apriori,success,1.0,0.638182875,88
katsura6,katsura,6,217337006,32,12,order3_apriori,success,1.0,0.672622917,87
katsura6,katsura,6,217337006,32,13,order3_apriori,success,1.0,0.428313542,47
katsura6,katsura,6,217337006,32,14,order3_apriori,success,1.0,0.44567,45
katsura6,katsura,6,217337006,32,15,order3_apriori,success,1.0,0.5716735,73
katsura6,katsura,6,217337006,32,16,order3_apriori,success,1.0,0.549063083,70
katsura6,katsura,6,217337006,32,17,order3_apriori,success,1.0,0.531802667,64
katsura6,katsura,6,217337006,32,18,order3_apriori,success,1.0,0.565981167,73
katsura6,katsura,6,217337006,32,19,order3_apriori,success,1.0,0.509089833,63
katsura6,katsura,6,217337006,32,20,order3_apriori,success,1.0,0.553698166,78
katsura6,katsura,6,217337006,32,21,order3_apriori,success,1.0,0.725821209,103
katsura6,katsura,6,217337006,32,22,order3_apriori,success,1.0,0.84547025,93
katsura6,katsura,6,217337006,32,23,order3_apriori,success,1.0,0.589698,82
katsura6,katsura,6,217337006,32,24,order3_apriori,success,1.0,0.674743125,93
katsura6,katsura,6,217337006,32,25,order3_apriori,success,1.0,0.418026125,42
katsura6,katsura,6,217337006,32,26,order3_apriori,success,1.0,0.448551458,42
katsura6,katsura,6,217337006,32,27,order3_apriori,success,1.0,0.558017208,67
katsura6,katsura,6,217337006,32,28,order3_apriori,success,1.0,0.528034542,64
katsura6,katsura,6,217337006,32,29,order3_apriori,success,1.0,0.3133055,67
katsura6,katsura,6,217337006,32,30,order3_apriori,success,1.0,0.547459791,65
katsura6,katsura,6,217337006,32,31,order3_apriori,success,1.0,0.598861125,75
katsura6,katsura,6,217337006,32,32,order3_apriori,success,1.0,0.792169833,78
random(2^3),random_dense,3,217347003,8,1,order3_apriori,success,1.0,0.026093334,15
random(2^3),random_dense,3,217347003,8,2,order3_apriori,success,1.0,0.022693625,13
random(2^3),random_dense,3,217347003,8,3,order3_apriori,success,1.0,0.100345,55
random(2^3),random_dense,3,217347003,8,4,order3_apriori,success,1.0,0.037801083,19
random(2^3),random_dense,3,217347003,8,5,order3_apriori,success,1.0,0.033386292,17
random(2^3),random_dense,3,217347003,8,6,order3_apriori,success,1.0,0.3039815,24
random(2^3),random_dense,3,217347003,8,7,order3_apriori,success,1.0,0.082001584,35
random(2^3),random_dense,3,217347003,8,8,order3_apriori,success,1.0,0.057733042,32
random(2^4),random_dense,4,217347004,16,1,order3_apriori,success,1.0,0.172347666,37
random(2^4),random_dense,4,217347004,16,2,order3_apriori,success,1.0,0.454400333,36
random(2^4),random_dense,4,217347004,16,3,order3_apriori,success,1.0,0.093111417,23
random(2^4),random_dense,4,217347004,16,4,order3_apriori,success,1.0,0.506016667,34
random(2^4),random_dense,4,217347004,16,5,order3_apriori,success,1.0,0.215042584,52
random(2^4),random_dense,4,217347004,16,6,order3_apriori,success,1.0,0.584015291,90
random(2^4),random_dense,4,217347004,16,7,order3_apriori,success,1.0,0.371795542,34
random(2^4),random_dense,4,217347004,16,8,order3_apriori,success,1.0,0.435266292,49
random(2^4),random_dense,4,217347004,16,9,order3_apriori,success,1.0,0.100983292,27
random(2^4),random_dense,4,217347004,16,10,order3_apriori,success,1.0,0.121869708,30
random(2^4),random_dense,4,217347004,16,11,order3_apriori,success,1.0,0.361435125,29
random(2^4),random_dense,4,217347004,16,12,order3_apriori,success,1.0,0.458634,52
random(2^4),random_dense,4,217347004,16,13,order3_apriori,success,1.0,0.104707833,28
random(2^4),random_dense,4,217347004,16,14,order3_apriori,success,1.0,0.420957542,51
random(2^4),random_dense,4,217347004,16,15,order3_apriori,success,1.0,0.128750542,33
random(2^4),random_dense,4,217347004,16,16,order3_apriori,success,1.0,0.428179667,53
random(2^5),random_dense,5,217347005,32,1,order3_apriori,success,1.0,0.912737541,67
random(2^5),random_dense,5,217347005,32,2,order3_apriori,success,1.0,0.608021542,60
random(2^5),random_dense,5,217347005,32,3,order3_apriori,success,1.0,0.753341792,50
random(2^5),random_dense,5,217347005,32,4,order3_apriori,success,1.0,1.5239455,66
random(2^5),random_dense,5,217347005,32,5,order3_apriori,success,1.0,1.692154292,69
random(2^5),random_dense,5,217347005,32,6,order3_apriori,success,1.0,1.8221635,64
random(2^5),random_dense,5,217347005,32,7,order3_apriori,success,1.0,3.747182958,80
random(2^5),random_dense,5,217347005,32,8,order3_apriori,success,1.0,1.004987167,68
random(2^5),random_dense,5,217347005,32,9,order3_apriori,success,1.0,1.529631708,55
random(2^5),random_dense,5,217347005,32,10,order3_apriori,success,1.0,0.992961084,64
random(2^5),random_dense,5,217347005,32,11,order3_apriori,success,1.0,0.721477875,43
random(2^5),random_dense,5,217347005,32,12,order3_apriori,success,1.0,0.744907334,50
random(2^5),random_dense,5,217347005,32,13,order3_apriori,success,1.0,0.730330209,42
random(2^5),random_dense,5,217347005,32,14,order3_apriori,success,1.0,0.713783209,43
random(2^5),random_dense,5,217347005,32,15,order3_apriori,success,1.0,1.261387292,74
random(2^5),random_dense,5,217347005,32,16,order3_apriori,success,1.0,0.69408675,31
random(2^5),random_dense,5,217347005,32,17,order3_apriori,success,1.0,0.519846167,31
random(2^5),random_dense,5,217347005,32,18,order3_apriori,success,1.0,0.571122958,35
random(2^5),random_dense,5,217347005,32,19,order3_apriori,success,1.0,0.714554166,52
random(2^5),random_dense,5,217347005,32,20,order3_apriori,success,1.0,0.506581625,27
random(2^5),random_dense,5,217347005,32,21,order3_apriori,success,1.0,0.754624833,59
random(2^5),random_dense,5,217347005,32,22,order3_apriori,success,1.0,0.526872792,18
random(2^5),random_dense,5,217347005,32,23,order3_apriori,success,1.0,2.063951,78
random(2^5),random_dense,5,217347005,32,24,order3_apriori,success,1.0,4.397743792,196
random(2^5),random_dense,5,217347005,32,25,order3_apriori,success,1.0,2.756464083,103
random(2^5),random_dense,5,217347005,32,26,order3_apriori,success,1.0,0.645113291,47
random(2^5),random_dense,5,217347005,32,27,order3_apriori,success,1.0,0.486738125,27
random(2^5),random_dense,5,217347005,32,28,order3_apriori,success,1.0,2.97079425,68
random(2^5),random_dense,5,217347005,32,29,order3_apriori,success,1.0,1.382365166,32
random(2^5),random_dense,5,217347005,32,30,order3_apriori,success,1.0,2.029505416,32
random(2^5),random_dense,5,217347005,32,31,order3_apriori,success,1.0,1.935900916,78
random(2^5),random_dense,5,217347005,32,32,order3_apriori,success,1.0,1.461925083,33
random(2^6),random_dense,6,217347006,64,1,order3_apriori,success,1.0,2.871271291,69
random(2^6),random_dense,6,217347006,64,2,order3_apriori,success,1.0,1.797388709,49
random(2^6),random_dense,6,217347006,64,3,order3_apriori,success,1.0,2.845689833,92
random(2^6),random_dense,6,217347006,64,4,order3_apriori,success,1.0,1.561495,44
random(2^6),random_dense,6,217347006,64,5,order3_apriori,success,1.0,1.108768667,37
random(2^6),random_dense,6,217347006,64,6,order3_apriori,success,1.0,0.949161542,27
random(2^6),random_dense,6,217347006,64,7,order3_apriori,success,1.0,3.320327,44
random(2^6),random_dense,6,217347006,64,8,order3_apriori,success,1.0,3.221863084,66
random(2^6),random_dense,6,217347006,64,9,order3_apriori,success,1.0,3.038714292,54
random(2^6),random_dense,6,217347006,64,10,order3_apriori,success,1.0,0.847377208,24
random(2^6),random_dense,6,217347006,64,11,order3_apriori,success,1.0,1.756806542,45
random(2^6),random_dense,6,217347006,64,12,order3_apriori,success,1.0,17.775290458,199
random(2^6),random_dense,6,217347006,64,13,order3_apriori,success,1.0,4.150777625,41
random(2^6),random_dense,6,217347006,64,14,order3_apriori,success,1.0,3.137327208,36
random(2^6),random_dense,6,217347006,64,15,order3_apriori,success,1.0,1.117665208,27
random(2^6),random_dense,6,217347006,64,16,order3_apriori,success,1.0,7.37197825,132
random(2^6),random_dense,6,217347006,64,17,order3_apriori,success,1.0,3.649716917,43
random(2^6),random_dense,6,217347006,64,18,order3_apriori,success,1.0,2.202407792,37
random(2^6),random_dense,6,217347006,64,19,order3_apriori,success,1.0,8.530033625,60
random(2^6),random_dense,6,217347006,64,20,order3_apriori,success,1.0,2.997477958,48
random(2^6),random_dense,6,217347006,64,21,order3_apriori,success,1.0,2.2584405,42
random(2^6),random_dense,6,217347006,64,22,order3_apriori,success,1.0,1.235817083,32
random(2^6),random_dense,6,217347006,64,23,order3_apriori,success,1.0,12.429847083,119
random(2^6),random_dense,6,217347006,64,24,order3_apriori,success,1.0,4.999371875,57
random(2^6),random_dense,6,217347006,64,25,order3_apriori,success,1.0,5.365794834,89
random(2^6),random_dense,6,217347006,64,26,order3_apriori,success,1.0,2.57358725,30
random(2^6),random_dense,6,217347006,64,27,order3_apriori,success,1.0,3.669157167,49
random(2^6),random_dense,6,217347006,64,28,order3_apriori,success,1.0,1.349920125,54
random(2^6),random_dense,6,217347006,64,29,order3_apriori,success,1.0,2.093113167,81
random(2^6),random_dense,6,217347006,64,30,order3_apriori,success,1.0,1.0067385,31
random(2^6),random_dense,6,217347006,64,31,order3_apriori,success,1.0,1.916541833,66
random(2^6),random_dense,6,217347006,64,32,order3_apriori,success,1.0,1.066540833,41
random(2^6),random_dense,6,217347006,64,33,order3_apriori,success,1.0,1.368116333,46
random(2^6),random_dense,6,217347006,64,34,order3_apriori,success,1.0,4.7736495,108
random(2^6),random_dense,6,217347006,64,35,order3_apriori,success,1.0,1.282930792,41
random(2^6),random_dense,6,217347006,64,36,order3_apriori,success,1.0,0.937297792,30
random(2^6),random_dense,6,217347006,64,37,order3_apriori,success,1.0,1.156558458,45
random(2^6),random_dense,6,217347006,64,38,order3_apriori,success,1.0,1.042625125,29
random(2^6),random_dense,6,217347006,64,39,order3_apriori,success,1.0,2.5852875,76
random(2^6),random_dense,6,217347006,64,40,order3_apriori,success,1.0,6.084219,57
random(2^6),random_dense,6,217347006,64,41,order3_apriori,success,1.0,2.601526208,39
random(2^6),random_dense,6,217347006,64,42,order3_apriori,success,1.0,1.403265917,24
random(2^6),random_dense,6,217347006,64,43,order3_apriori,success,1.0,1.585950584,44
random(2^6),random_dense,6,217347006,64,44,order3_apriori,success,1.0,0.945759083,25
random(2^6),random_dense,6,217347006,64,45,order3_apriori,success,1.0,0.748506,30
random(2^6),random_dense,6,217347006,64,46,order3_apriori,success,1.0,0.717939167,29
random(2^6),random_dense,6,217347006,64,47,order3_apriori,success,1.0,0.459239917,24
random(2^6),random_dense,6,217347006,64,48,order3_apriori,success,1.0,1.45270775,57
random(2^6),random_dense,6,217347006,64,49,order3_apriori,success,1.0,1.273946667,56
random(2^6),random_dense,6,217347006,64,50,order3_apriori,success,1.0,0.476150042,21
random(2^6),random_dense,6,217347006,64,51,order3_apriori,success,1.0,1.526912167,59
random(2^6),random_dense,6,217347006,64,52,order3_apriori,success,1.0,2.556872958,81
random(2^6),random_dense,6,217347006,64,53,order3_apriori,success,1.0,4.264261792,161
random(2^6),random_dense,6,217347006,64,54,order3_apriori,success,1.0,1.104370958,38
random(2^6),random_dense,6,217347006,64,55,order3_apriori,success,1.0,2.584391833,49
random(2^6),random_dense,6,217347006,64,56,order3_apriori,success,1.0,4.524659125,37
random(2^6),random_dense,6,217347006,64,57,order3_apriori,success,1.0,2.240362375,54
random(2^6),random_dense,6,217347006,64,58,order3_apriori,success,1.0,1.032006292,25
random(2^6),random_dense,6,217347006,64,59,order3_apriori,success,1.0,3.011285209,71
random(2^6),random_dense,6,217347006,64,60,order3_apriori,success,1.0,1.354308167,41
random(2^6),random_dense,6,217347006,64,61,order3_apriori,success,1.0,1.50884975,41
random(2^6),random_dense,6,217347006,64,62,order3_apriori,success,1.0,3.138396291,75
random(2^6),random_dense,6,217347006,64,63,order3_apriori,success,1.0,0.854580708,21
random(2^6),random_dense,6,217347006,64,64,order3_apriori,success,1.0,2.051146792,58
