system,family,n,paths_total,path_index,iterations,min_dt,median_dt,max_dt,mean_dt,min_radius,median_radius,mean_radius_theory_gap,max_eta,min_r_theory
katsura5,katsura,5,16,2,23,0.004496340685450129,0.030581893244149547,0.13436128942122008,0.04347826086956521,0.0015625,0.003125,209791.09616186496,0.009900262142920842,0.0
katsura5,katsura,5,16,3,25,0.010622512518025025,0.02321045162678808,0.14914968804941087,0.04,0.0015625,0.0015625,138147.344399203,0.00801093578604724,0.0
katsura5,katsura,5,16,4,41,0.003686912941995005,0.016751123392388708,0.0858130410292216,0.02439024390243902,0.000390625,0.00078125,53463.93246902232,0.006562500002833853,0.0
katsura5,katsura,5,16,5,20,0.017010017526436272,0.028367945142158315,0.15513102265083376,0.05,0.0015625,0.0015625,129464.93847405286,0.00948783879190901,0.0
katsura5,katsura,5,16,6,37,0.0059707006384422875,0.016991494193977802,0.08828343557559447,0.02702702702702703,0.000390625,0.00078125,79227.8420744811,0.006562500002833853,0.0
katsura3,katsura,3,4,1,11,0.025114256222629416,0.08570421719788372,0.15747620450079283,0.09090909090909091,0.003125,0.003125,36776.47628941684,0.012500000004096675,0.0
katsura3,katsura,3,4,2,37,0.0029050999038827932,0.01566867034013304,0.10356758845676892,0.02702702702702703,0.0015625,0.0015625,319927.38347456494,0.013125000003857318,0.0
katsura3,katsura,3,4,3,12,0.05641472683609649,0.08316143218825435,0.12019659826778108,0.08333333333333333,0.003125,0.003125,45497.15587485041,0.01847901218280472,0.0
katsura3,katsura,3,4,4,17,0.0159779784540336,0.07055042118486472,0.10067372128666721,0.05882352941176469,0.0015625,0.0015625,40907.69947584947,0.01883709423027946,0.0
katsura4,katsura,4,8,1,17,0.00846786629324181,0.056036430996328476,0.12105306746125864,0.058823529411764705,0.0015625,0.0015625,28101.44118084993,0.008750000002996005,0.0
katsura4,katsura,4,8,2,16,0.023076969021049585,0.048507083172624005,0.15643519783552695,0.0625,0.003125,0.003125,160369.73774972645,0.017837285769316296,0.0
katsura4,katsura,4,8,3,18,0.006130023262956086,0.03718193991632203,0.1963425494452875,0.05555555555555555,0.003125,0.003125,161375.705054305,0.016141156756313405,0.0
katsura4,katsura,4,8,4,59,0.0012761121150780882,0.005597099345181849,0.0871013912227424,0.01694915254237288,0.00078125,0.00078125,191200.0220260687,0.008750000002996005,0.0
katsura4,katsura,4,8,5,13,0.04288241972798759,0.06861734407058234,0.13648775655629355,0.07692307692307693,0.003125,0.003125,91149.92482661706,0.014414499005964084,0.0
katsura4,katsura,4,8,6,26,0.009498605661131717,0.0242924516336357,0.1257353777999719,0.03846153846153846,0.0015625,0.003125,114315.60955184519,0.008750000002996005,0.0
katsura4,katsura,4,8,7,15,0.034534743746761146,0.05812142726054196,0.12936176074544495,0.06666666666666667,0.003125,0.003125,63158.075572064445,0.011219849433036864,0.0
katsura4,katsura,4,8,8,19,0.010379741226354112,0.049336029738621424,0.11201899485728711,0.05263157894736842,0.00078125,0.00078125,59779.07660351333,0.010285122766356136,0.0
katsura5,katsura,5,16,1,31,0.001964678046318613,0.033584158597863775,0.09160349581196602,0.03225806451612903,0.000390625,0.000390625,53961.2717449002,0.006562500002833853,0.0
katsura5,katsura,5,16,2,23,0.004496340685450129,0.030581893244149547,0.13436128942122008,0.04347826086956521,0.0015625,0.003125,209791.09616186496,0.009900262142920842,0.0
katsura5,katsura,5,16,3,25,0.010622512518025025,0.02321045162678808,0.14914968804941087,0.04,0.0015625,0.0015625,138147.344399203,0.00801093578604724,0.0
katsura5,katsura,5,16,4,41,0.003686912941995005,0.016751123392388708,0.0858130410292216,0.02439024390243902,0.000390625,0.00078125,53463.93246902232,0.006562500002833853,0.0
katsura5,katsura,5,16,5,20,0.017010017526436272,0.028367945142158315,0.15513102265083376,0.05,0.0015625,0.0015625,129464.93847405286,0.00948783879190901,0.0
katsura5,katsura,5,16,6,37,0.0059707006384422875,0.016991494193977802,0.08828343557559447,0.02702702702702703,0.000390625,0.00078125,79227.8420744811,0.006562500002833853,0.0
katsura3,katsura,3,4,1,11,0.025114256222629416,0.08570421719788372,0.15747620450079283,0.09090909090909091,0.003125,0.003125,36776.47628941684,0.012500000004096675,0.0
katsura3,katsura,3,4,2,37,0.0029050999038827932,0.01566867034013304,0.10356758845676892,0.02702702702702703,0.0015625,0.0015625,319927.38347456494,0.013125000003857318,0.0
katsura3,katsura,3,4,3,12,0.05641472683609649,0.08316143218825435,0.12019659826778108,0.08333333333333333,0.003125,0.003125,45497.15587485041,0.01847901218280472,0.0
katsura3,katsura,3,4,4,17,0.0159779784540336,0.07055042118486472,0.10067372128666721,0.05882352941176469,0.0015625,0.0015625,40907.69947584947,0.01883709423027946,0.0
katsura4,katsura,4,8,1,17,0.00846786629324181,0.056036430996328476,0.12105306746125864,0.058823529411764705,0.0015625,0.0015625,28101.44118084993,0.008750000002996005,0.0
katsura4,katsura,4,8,2,16,0.023076969021049585,0.048507083172624005,0.15643519783552695,0.0625,0.003125,0.003125,160369.73774972645,0.017837285769316296,0.0
katsura4,katsura,4,8,3,18,0.006130023262956086,0.03718193991632203,0.1963425494452875,0.05555555555555555,0.003125,0.003125,161375.705054305,0.016141156756313405,0.0
katsura4,katsura,4,8,4,59,0.0012761121150780882,0.005597099345181849,0.0871013912227424,0.01694915254237288,0.00078125,0.00078125,191200.0220260687,0.008750000002996005,0.0
katsura4,katsura,4,8,5,13,0.04288241972798759,0.06861734407058234,0.13648775655629355,0.07692307692307693,0.003125,0.003125,91149.92482661706,0.014414499005964084,0.0
katsura4,katsura,4,8,6,26,0.009498605661131717,0.0242924516336357,0.1257353777999719,0.03846153846153846,0.0015625,0.003125,114315.60955184519,0.008750000002996005,0.0
katsura4,katsura,4,8,7,15,0.034534743746761146,0.05812142726054196,0.12936176074544495,0.06666666666666667,0.003125,0.003125,63158.075572064445,0.011219849433036864,0.0
katsura4,katsura,4,8,8,19,0.010379741226354112,0.049336029738621424,0.11201899485728711,0.05263157894736842,0.00078125,0.00078125,59779.07660351333,0.010285122766356136,0.0
katsura5,katsura,5,16,1,31,0.001964678046318613,0.033584158597863775,0.09160349581196602,0.03225806451612903,0.000390625,0.000390625,53961.2717449002,0.006562500002833853,0.0
katsura5,katsura,5,16,2,23,0.004496340685450129,0.030581893244149547,0.13436128942122008,0.04347826086956521,0.0015625,0.003125,209791.09616186496,0.009900262142920842,0.0
katsura5,katsura,5,16,3,25,0.010622512518025025,0.02321045162678808,0.14914968804941087,0.04,0.0015625,0.0015625,138147.344399203,0.00801093578604724,0.0
katsura5,katsura,5,16,4,41,0.003686912941995005,0.016751123392388708,0.0858130410292216,0.02439024390243902,0.000390625,0.00078125,53463.93246902232,0.006562500002833853,0.0
katsura5,katsura,5,16,5,20,0.017010017526436272,0.028367945142158315,0.15513102265083376,0.05,0.0015625,0.0015625,129464.93847405286,0.00948783879190901,0.0
katsura5,katsura,5,16,6,37,0.0059707006384422875,0.016991494193977802,0.08828343557559447,0.02702702702702703,0.000390625,0.00078125,79227.8420744811,0.006562500002833853,0.0
